BAR,SN,TIME,RESULT,AUDIO,CAMERA,GYRO,ACCE,UART1,UART2
1112233,6c1180001cc6f697874010c50461872a,1516090201864,0,-1,0,-1,-1,-1,-1
111,6c1180001cc6f697874010c50461872a,1516090261342,1,-1,1,-1,-1,-1,-1
7777,6c1180001cc6f697874010c50461872a,1516163817938,1,-1,1,-1,-1,-1,-1
9999,6c1180001cc6f697874010c50461872a,1516164606331,1,-1,1,1,1,-1,-1
23578,6c1180001cc6f697874010c50461872a,1516164973593,0,-1,-1,-1,-1,1,0
444566,6c1180001cc6f697874010c50461872a,1516165132560,0,-1,-1,-1,1,1,0
33333,6c1180001cc6f697874010c50461872a,1516165272325,1,-1,-1,-1,-1,1,-1
3333,6c1180001cc6f697874010c50461872a,1516165346991,0,-1,-1,-1,-1,-1,0
44444,6c1180001cc6f697874010c50461872a,1516166182997,0,-1,-1,-1,-1,1,0
33456,6c1180001cc6f697874010c50461872a,1516166261456,1,-1,-1,-1,-1,1,-1
000099,6c1180001cc6f697874010c50461872a,1516167819417,0,-1,1,1,1,1,0
44455678,6c1180001cc6f697874010c50461872a,1516173815907,0,1,1,1,1,1,0
8888776654,6c1180001cc6f697874010c50461872a,1516173942698,1,1,1,1,1,1,-1
445522156,6c1180001cc6f697874010c50461872a,1516174895186,0,1,1,1,1,1,0
77225413,6c1180001cc6f697874010c50461872a,1516175266761,0,1,1,1,1,1,0
